epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.605,2.40445,18.6132,1.98839,0.4953,0.40342,0.43051,0.23964,2.72922,15.115,2.17042,0.000198864,0.000198864,0.000198864
2,213.378,2.47053,15.1444,2.01308,0.36262,0.38819,0.29816,0.13058,2.91597,17.8467,2.37049,0.000398796,0.000398796,0.000398796
3,323.312,2.59218,15.7738,2.11276,0.43697,0.33717,0.34981,0.19657,2.97045,16.4715,2.39833,0.000598457,0.000598457,0.000598457
4,433.071,2.56633,15.4898,2.09839,0.45885,0.42547,0.39103,0.22062,2.90494,19.4451,2.39169,0.000797645,0.000797645,0.000797645
5,542.319,2.54079,15.4733,2.08689,0.77124,0.27024,0.29536,0.14876,2.99314,18.2419,2.35596,0.000996155,0.000996155,0.000996155
6,651.477,2.52732,15.3,2.07528,0.3169,0.32765,0.31835,0.183,2.86334,17.8303,2.29599,0.000995765,0.000995765,0.000995765
7,760.627,2.4758,14.8429,2.0465,0.53488,0.4232,0.44405,0.25147,2.81588,14.7054,2.1976,0.000993906,0.000993906,0.000993906
8,869.948,2.43377,14.4289,2.01252,0.34855,0.42843,0.40368,0.21246,2.7846,15.2745,2.19539,0.000991711,0.000991711,0.000991711
9,978.944,2.41226,14.1806,1.99612,0.59778,0.44131,0.44773,0.22431,2.83207,14.682,2.26192,0.000989183,0.000989183,0.000989183
10,1088.35,2.37608,13.8024,1.97845,0.5856,0.46465,0.49336,0.28747,2.72071,13.7888,2.1485,0.000986323,0.000986323,0.000986323
11,1197.38,2.33339,13.5003,1.9405,0.53094,0.47494,0.5004,0.28436,2.62696,13.1136,2.06179,0.000983133,0.000983133,0.000983133
12,1306.48,2.33324,13.393,1.94192,0.65688,0.49641,0.5146,0.27017,2.78419,13.3049,2.13952,0.000979616,0.000979616,0.000979616
13,1415.41,2.32178,13.1434,1.93769,0.62713,0.48097,0.51012,0.29752,2.59579,13.1463,2.02647,0.000975773,0.000975773,0.000975773
14,1524.49,2.31185,13.0645,1.91888,0.54941,0.51599,0.51996,0.27345,2.76857,13.1867,2.14978,0.000971608,0.000971608,0.000971608
15,1633.42,2.29664,12.796,1.90238,0.66839,0.49461,0.52846,0.30952,2.52773,12.9667,1.98983,0.000967122,0.000967122,0.000967122
16,1742.57,2.25737,12.5658,1.88351,0.55537,0.52988,0.52625,0.30547,2.65638,12.8705,2.02961,0.00096232,0.00096232,0.00096232
17,1851.33,2.2418,12.3076,1.86333,0.55107,0.55988,0.55934,0.34134,2.53465,11.9825,1.96381,0.000957205,0.000957205,0.000957205
18,1960.57,2.21058,12.0726,1.85425,0.57589,0.57058,0.5681,0.32244,2.68427,12.3183,2.07004,0.00095178,0.00095178,0.00095178
19,2069.53,2.24026,12.1279,1.86354,0.56831,0.55486,0.57133,0.35445,2.44561,11.7333,1.93078,0.000946048,0.000946048,0.000946048
20,2178.74,2.20859,12.0681,1.84095,0.5968,0.56979,0.5788,0.32504,2.56302,11.7636,1.97054,0.000940014,0.000940014,0.000940014
21,2287.8,2.20038,11.7205,1.83872,0.58903,0.54546,0.56253,0.33091,2.57031,12.1203,1.97468,0.000933683,0.000933683,0.000933683
22,2396.83,2.19462,11.6825,1.84398,0.54776,0.55437,0.55664,0.29267,2.70779,12.7432,2.1015,0.000927057,0.000927057,0.000927057
23,2505.82,2.17873,11.722,1.84202,0.57637,0.58302,0.60001,0.36461,2.43492,11.2511,1.89527,0.000920142,0.000920142,0.000920142
24,2615.18,2.1719,11.6912,1.8222,0.58089,0.5655,0.59028,0.37784,2.29324,11.7347,1.84446,0.000912942,0.000912942,0.000912942
25,2724.35,2.15865,11.43,1.81878,0.64276,0.55091,0.58364,0.30499,2.70249,11.7966,2.06452,0.000905463,0.000905463,0.000905463
26,2833.11,2.16104,11.2381,1.80434,0.55971,0.57891,0.58614,0.33606,2.53303,11.669,1.94603,0.00089771,0.00089771,0.00089771
27,2941.9,2.1708,11.377,1.82358,0.59378,0.60484,0.61233,0.36579,2.44389,10.8985,1.90029,0.000889687,0.000889687,0.000889687
28,3051.05,2.13178,11.1679,1.79067,0.62378,0.59087,0.6141,0.37049,2.44598,11.0936,1.89169,0.000881401,0.000881401,0.000881401
29,3159.8,2.14027,11.1257,1.79691,0.59113,0.60242,0.60479,0.37036,2.48517,11.2577,1.93703,0.000872857,0.000872857,0.000872857
30,3268.61,2.0916,10.9125,1.79355,0.65339,0.59574,0.62102,0.3759,2.45422,10.5233,1.88376,0.00086406,0.00086406,0.00086406
31,3377.55,2.11184,10.933,1.78829,0.59661,0.61754,0.61487,0.37131,2.37224,10.8219,1.87348,0.000855018,0.000855018,0.000855018
32,3486.36,2.1237,10.8627,1.78429,0.65382,0.60731,0.62984,0.3712,2.47951,10.6308,1.90306,0.000845736,0.000845736,0.000845736
33,3595.22,2.06359,10.5445,1.75096,0.64524,0.60502,0.61607,0.38986,2.41458,10.6495,1.88232,0.00083622,0.00083622,0.00083622
34,3704.6,2.10266,10.6903,1.77893,0.60546,0.60446,0.63238,0.37455,2.44939,10.554,1.89147,0.000826477,0.000826477,0.000826477
35,3813.56,2.05703,10.5095,1.75383,0.62617,0.62508,0.64251,0.38926,2.38648,10.1165,1.85661,0.000816514,0.000816514,0.000816514
36,3922.4,2.08478,10.4851,1.76496,0.65292,0.61441,0.63274,0.37606,2.48456,10.3306,1.94584,0.000806337,0.000806337,0.000806337
37,4031.14,2.07148,10.4009,1.75544,0.65817,0.59796,0.63719,0.37379,2.51339,10.2883,1.93053,0.000795954,0.000795954,0.000795954
